 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve
145,53,3,4,5,16,16,192
126,58,4,3,6,19,13,109
126,49,4,3,6,22,13,98
102,54,4,4,5,16,14,170
113,42,4,5,6,26,12,81
116,55,4,3,5,16,15,173
112,45,4,5,6,22,14,117
111,54,4,4,5,17,16,183
132,61,3,3,8,29,10,53
148,53,3,3,6,19,12,94
119,53,4,4,6,20,13,118
152,48,3,4,6,20,12,99
98,45,4,5,7,25,11,72
109,53,4,3,5,18,13,119
130,47,4,4,7,22,11,74
120,45,4,4,6,20,13,113
126,54,4,3,6,18,13,111
123,61,4,3,5,16,15,192
130,54,4,3,5,19,14,134
117,56,4,4,6,22,12,77
140,46,3,4,7,27,11,64
114,48,4,4,12,40,8,24
144,53,4,3,10,34,9,36
103,53,4,3,43,79,5,4
106,51,3,4,6,20,12,93
172,50,3,4,60,93,5,3
107,54,4,3,6,19,13,111
116,53,4,4,6,19,13,120
138,51,4,4,8,25,10,54
107,56,4,4,6,17,14,143
113,54,4,3,11,40,8,26
135,54,3,3,7,24,11,69
93,41,4,5,4,16,19,277
110,49,4,4,14,42,7,18
145,55,3,3,4,14,24,467
126,46,3,4,6,25,12,74
129,57,4,3,8,30,10,48
156,58,3,3,4,13,24,484
113,51,3,4,5,15,16,245
101,52,4,4,6,17,15,170
89,48,4,4,5,15,18,265
112,46,4,4,7,25,11,65
131,51,4,4,5,16,15,198
109,45,4,4,6,25,12,86
133,54,3,3,7,22,11,71
121,50,3,4,5,17,16,183
132,60,3,3,5,20,14,129
136,51,4,3,5,15,17,250
125,57,3,3,16,47,7,16
141,63,3,3,91,94,4,2
101,53,4,4,108,103,4,2
129,48,3,4,7,21,11,74
146,44,3,4,6,20,12,83
124,55,4,3,7,27,11,66
138,46,3,4,6,19,13,117
107,46,4,4,6,21,13,100
141,53,4,3,5,16,16,190
128,47,4,4,5,22,14,109
102,38,4,6,5,17,18,236
132,55,3,3,6,22,13,104
116,51,4,4,6,25,12,76
98,47,4,5,6,20,13,104
53,57,6,7,12,38,8,28
123,55,3,3,14,42,7,17
96,52,4,4,5,17,15,180
122,54,4,3,6,20,12,97
164,47,3,4,5,20,14,125
160,52,3,4,78,86,4,2
106,45,4,4,5,15,16,202
111,49,4,4,5,17,17,208
116,48,4,4,5,17,17,208
115,48,4,4,6,24,13,96
129,60,3,3,13,42,8,25
139,51,3,3,6,21,13,105
143,59,4,3,5,16,16,201
129,53,3,3,5,18,14,147
147,55,3,3,7,20,11,78
97,40,4,6,5,16,16,203
109,51,4,4,5,17,19,252
142,49,3,4,5,18,14,128
121,48,4,4,6,18,13,117
128,52,4,4,4,14,21,370
117,44,4,5,5,16,15,179
128,52,4,4,6,16,14,170
142,56,3,3,5,21,14,123
131,61,3,3,7,22,11,74
57,30,7,29,79,88,4,2
131,62,3,3,38,59,5,4
137,45,4,4,5,18,15,167
145,54,3,3,7,20,11,84
139,55,3,3,6,19,12,90
127,48,4,4,5,17,19,257
123,56,4,3,6,21,13,109
107,49,4,4,5,19,14,133
134,50,4,3,6,17,14,148
122,56,4,3,7,23,11,72
125,52,4,4,5,17,16,204
134,54,4,3,5,15,17,256
117,48,4,4,6,18,14,136
121,43,4,5,6,17,14,152
132,52,3,4,5,16,18,238
141,48,3,4,6,20,13,103
137,49,4,4,7,26,11,63
140,54,4,3,5,18,14,141
115,44,4,4,6,23,13,99
131,57,4,3,7,22,10,57
116,47,3,4,5,19,15,140
137,50,4,3,18,50,7,12
102,52,4,3,5,20,14,130
123,42,4,5,4,15,19,263
109,49,4,4,5,17,18,222
105,47,4,4,6,19,13,103
127,49,4,4,7,22,11,71
127,55,4,3,5,18,16,168
182,62,2,5,17,54,7,15
116,50,3,4,7,28,11,61
118,50,4,3,5,19,14,134
130,54,4,3,7,25,12,77
109,49,4,4,6,20,12,102
124,55,4,4,6,21,12,87
117,51,4,3,4,12,30,764
112,45,4,5,6,18,12,114
110,47,4,4,8,25,10,57
132,58,4,3,5,17,15,168
129,56,3,3,5,17,15,173
116,47,4,4,6,18,13,113
115,47,4,3,5,15,17,246
145,47,3,4,8,26,10,46
127,53,4,3,4,16,21,320
94,43,4,5,6,21,11,76
107,46,4,4,4,14,24,450
106,39,5,7,46,77,5,4
83,42,4,6,6,18,13,112
111,56,4,3,8,32,10,42
93,46,4,4,5,14,18,310
108,43,4,4,7,24,11,64
127,46,3,4,6,19,11,87
132,46,3,4,5,15,18,255
114,44,4,4,6,23,12,90
110,55,4,3,8,30,10,46
128,50,4,4,6,18,13,116
88,48,4,4,6,21,13,102
128,58,3,3,7,22,11,78
154,57,3,3,6,23,14,120
111,57,4,3,6,21,11,76
114,43,4,5,16,50,7,16
121,51,4,4,7,29,10,50
142,51,4,4,8,30,10,47
106,56,4,3,6,24,11,71
113,48,4,4,6,17,13,137
117,52,4,3,5,15,17,234
41,34,8,32,70,90,4,3
148,48,3,4,5,18,15,152
114,54,4,3,6,17,14,157
113,48,3,4,8,27,10,50
117,46,4,4,6,17,13,144
133,53,4,3,7,25,11,69
136,50,4,4,9,34,9,38
132,56,4,3,6,18,14,151
123,48,4,3,6,20,13,110
143,54,3,3,12,42,8,24
96,45,4,4,6,21,13,101
118,49,4,4,6,18,13,126
115,55,4,3,5,17,14,137
112,53,4,3,5,19,15,145
88,41,4,6,5,15,16,231
107,54,4,3,6,19,12,98
25,36,9,37,163,88,3,2
144,50,3,4,7,28,11,68
131,56,3,3,7,28,10,53
136,61,3,3,6,25,12,87
123,53,4,3,11,37,9,34
106,47,4,4,7,26,12,75
124,55,4,4,10,36,9,34
100,44,4,4,5,17,16,172
142,50,4,3,5,16,16,203
112,43,4,4,5,21,15,140
117,59,4,3,7,24,11,72
122,55,4,3,7,26,11,62
121,51,4,4,33,70,5,6
120,54,4,3,6,21,13,101
121,54,4,3,5,19,14,136
133,51,4,4,118,91,3,2
164,55,3,3,8,25,10,58
119,43,4,5,5,19,14,132
109,37,4,6,8,23,10,48
131,58,3,3,5,15,17,232
113,53,4,4,6,25,12,87
139,49,4,4,59,83,4,2
138,42,4,4,6,20,14,129
113,51,4,4,11,33,9,31
103,50,4,4,11,38,8,23
122,49,4,3,5,19,16,166
123,52,3,4,5,16,15,190
73,40,5,7,7,22,11,69
130,54,4,3,5,15,17,236
126,42,4,5,6,24,13,90
99,51,4,4,4,15,21,329
156,56,3,3,5,18,18,229
79,39,4,7,7,25,10,53
124,52,3,3,6,19,13,121
104,47,4,4,5,19,14,126
97,41,4,6,5,17,15,175
117,58,4,3,6,19,14,130
114,52,4,3,5,16,15,183
127,61,4,3,70,89,4,2
122,51,4,3,7,23,11,71
131,57,4,3,15,44,7,16
134,54,4,3,5,15,16,224
127,56,4,3,8,26,9,44
126,55,3,3,6,23,12,86
107,55,4,4,28,67,6,7
82,41,4,6,6,20,14,134
125,59,4,3,6,19,12,92
114,45,4,4,4,13,25,512
112,60,4,3,6,20,12,95
140,55,3,3,6,18,13,116
112,55,4,3,9,31,10,46
100,50,4,4,6,20,13,117
68,38,6,16,28,74,6,8
126,51,4,4,112,92,3,2
97,47,4,5,25,70,6,9
93,55,4,4,128,78,2,3
124,54,3,3,10,30,9,36
131,51,4,4,19,53,7,12
114,45,4,5,8,26,9,39
132,60,3,3,123,80,3,2
120,51,4,3,96,86,3,2
91,38,4,7,6,20,12,84
83,41,4,6,5,16,17,217
120,56,4,3,11,34,8,22
125,58,4,3,6,22,13,97
137,53,3,3,9,33,9,38
125,56,4,4,9,38,10,39
102,51,4,4,8,34,11,54
119,56,4,3,6,20,13,119
123,48,4,4,6,23,13,100
132,51,3,4,111,86,4,2
120,42,4,5,4,16,20,304
104,52,4,3,5,16,15,180
126,47,4,4,5,17,17,201
124,60,4,3,93,97,4,2
119,51,4,4,9,28,10,43
111,53,4,3,32,69,6,6
143,54,3,3,6,18,12,106
113,57,4,3,6,17,14,143
125,50,3,4,6,21,12,95
120,46,4,4,5,17,15,169
119,51,4,4,7,26,11,67
151,52,3,4,5,19,15,158
95,39,4,6,5,18,16,172
106,47,4,5,5,18,15,155
124,54,4,3,7,20,11,76
128,53,4,3,7,26,11,65
140,53,4,3,6,17,13,129
125,52,3,3,7,23,11,71
128,64,4,3,191,62,2,6
123,43,4,5,5,20,14,131
120,53,4,4,8,29,10,53
119,47,4,4,6,23,12,82
95,48,4,5,6,18,13,114
151,56,4,3,8,30,10,46
136,52,4,3,4,12,31,853
101,50,4,4,6,22,12,89
101,50,4,4,6,23,13,92
130,56,3,3,6,21,14,124
124,43,4,4,8,28,10,45
94,44,4,4,5,16,16,192
87,42,4,5,9,26,9,37
114,49,4,4,6,20,12,98
122,52,4,4,4,15,22,350
128,37,4,6,5,15,18,244
119,52,4,3,8,31,10,46
122,52,4,3,6,18,12,104
116,43,4,4,7,20,11,75
110,45,4,4,6,26,13,92
126,54,4,3,7,24,12,75
106,49,4,4,10,35,9,30
115,52,4,3,8,27,10,57
157,57,3,3,55,70,4,3
132,47,4,4,53,82,5,3
167,43,3,5,6,25,12,74
180,50,2,7,145,104,3,2
131,47,3,4,7,23,12,80
140,47,4,4,6,20,11,84
118,48,4,4,4,13,21,382
106,56,4,3,8,28,10,55
96,50,4,4,9,34,9,35
116,56,4,3,7,23,11,77
139,55,3,3,6,20,12,94
93,45,4,5,5,17,15,170
112,56,4,3,5,16,15,184
113,46,4,5,5,17,14,140
136,54,3,3,6,18,14,146
94,50,4,4,5,17,14,152
145,56,3,4,5,18,15,149
124,49,4,3,5,16,17,213
116,52,4,4,10,36,9,35
137,55,4,3,6,20,11,78
131,61,3,3,7,24,12,83
134,49,4,4,5,16,15,179
91,43,4,5,8,26,10,47
141,46,4,4,5,14,20,367
119,42,4,5,7,26,10,57
122,49,4,4,9,28,10,51
132,54,4,3,6,19,13,106
157,53,3,4,6,18,13,112
135,52,4,3,18,47,7,12
127,45,4,4,5,18,16,190
114,55,4,3,5,18,16,183
106,44,4,4,6,23,12,88
125,49,4,4,6,20,13,115
129,54,3,3,6,20,12,92
129,58,4,3,6,19,12,89
95,52,4,4,7,23,10,56
92,43,4,5,48,78,5,3
135,52,3,4,5,16,15,190
92,44,4,5,5,16,19,263
119,48,4,4,8,29,10,48
125,56,4,3,7,25,11,64
147,53,3,4,5,15,15,189
126,55,4,3,5,16,15,182
138,52,4,3,5,19,13,111
86,45,4,5,6,21,12,82
126,54,4,4,6,23,13,94
101,37,4,7,5,19,16,165
137,52,4,3,6,24,13,92
109,48,4,4,6,19,13,117
128,55,3,3,5,17,17,213
124,56,4,3,7,21,11,74
104,52,4,4,5,19,13,109
151,48,3,4,5,18,16,185
150,53,3,3,6,21,12,86
121,52,4,4,6,23,13,97
125,48,4,4,5,19,15,154
150,45,3,4,7,21,10,63
122,54,4,3,7,21,11,73
119,62,4,3,7,26,11,66
152,55,3,3,6,23,13,92
151,65,3,3,95,106,4,2
80,41,4,7,7,24,11,70
128,49,3,4,8,30,9,35
136,57,4,3,180,86,2,4
105,51,4,4,5,17,19,253
116,51,4,3,5,16,15,192
126,64,4,3,8,33,11,53
127,54,4,3,10,33,9,36
122,59,4,3,5,16,15,193
81,40,5,7,6,18,13,121
131,49,3,3,4,15,20,312
96,47,4,4,6,24,14,108
132,60,3,3,6,18,13,124
131,52,3,3,5,15,16,213
112,51,4,4,5,18,16,178
111,46,4,5,5,19,15,144
126,48,4,4,6,21,12,85
117,43,4,5,5,17,14,151
104,45,4,4,5,17,14,144
116,49,4,4,5,22,14,110
124,60,4,3,10,33,9,31
124,50,4,3,5,17,14,150
126,50,4,4,6,21,12,81
154,56,3,3,5,14,19,332
101,47,4,5,5,15,16,204
100,48,4,4,12,41,8,23
125,55,4,3,7,24,11,63
110,54,4,3,7,24,12,83
142,50,3,4,6,26,12,73
122,43,4,5,6,20,11,81
116,53,4,4,7,25,10,60
133,52,3,4,5,16,18,255
129,56,4,3,5,14,20,364
120,47,4,4,6,20,12,90
87,39,4,7,6,22,13,108
126,47,4,4,8,26,11,62
156,47,3,4,10,33,9,38
89,39,4,7,6,22,14,115
126,53,4,3,5,13,21,421
128,60,4,3,6,18,14,132
122,48,4,4,6,18,12,110
107,52,4,4,5,17,17,219
120,56,4,3,5,17,16,189
109,43,4,5,5,14,18,290
101,46,4,4,6,20,15,141
114,59,4,4,120,95,3,2
117,53,4,4,6,19,13,133
143,53,4,3,6,24,12,89
128,50,3,4,8,25,10,57
100,46,4,5,6,20,12,84
132,53,4,3,6,20,11,84
118,56,4,3,10,37,9,33
122,57,4,3,6,19,12,91
134,49,4,4,8,31,10,48
127,52,3,4,5,17,17,210
151,55,3,4,5,17,14,136
95,41,4,6,6,20,12,94
122,56,4,3,6,24,13,99
105,53,4,4,4,16,19,268
132,60,4,3,5,20,15,135
100,50,4,4,6,20,12,94
135,48,4,4,5,17,15,161
111,46,4,4,6,22,13,103
116,50,4,4,4,14,21,371
99,50,4,4,5,20,14,138
124,49,4,4,6,17,13,121
107,46,4,4,6,21,13,104
112,51,4,4,5,14,19,311
122,53,3,4,5,15,15,196
108,54,4,3,17,49,7,15
137,50,3,4,5,15,18,270
92,47,4,5,6,17,14,152
143,52,4,4,8,24,10,54
136,55,4,3,7,23,11,61
103,50,4,4,6,23,13,96
108,47,4,5,5,17,15,150
98,39,4,6,6,22,12,88
136,58,3,3,7,24,10,59
166,53,3,4,10,36,9,31
122,54,4,3,9,31,9,38
116,56,4,3,4,14,21,334
116,58,4,3,5,17,15,153
99,52,4,4,6,22,14,118
111,39,4,5,5,17,14,151
131,54,4,3,7,29,11,55
136,52,4,3,7,21,11,68
130,51,4,4,5,16,16,188
124,47,4,4,5,16,16,187
93,39,4,6,7,25,11,63
135,53,4,3,7,26,12,76
86,46,4,4,5,16,19,268
94,39,4,6,5,18,16,179
115,56,4,3,5,16,15,184
91,43,4,5,6,18,13,116
128,56,4,3,5,14,21,389
117,51,4,4,6,22,12,93
91,46,4,5,11,37,9,29
97,41,4,6,7,22,11,75
120,62,4,3,6,18,14,144
115,51,4,4,8,31,10,48
111,48,4,5,5,19,16,173
121,50,4,4,6,21,14,131
120,51,4,3,6,23,14,108
150,55,3,3,8,27,10,49
115,59,4,3,6,17,14,149
117,55,4,3,6,21,12,91
130,53,4,3,6,19,13,116
106,46,4,5,5,17,16,186
112,40,4,5,6,19,13,110
125,40,3,5,24,57,6,9
127,62,4,3,7,27,12,80
113,45,4,4,6,20,11,81
128,53,3,3,5,17,14,151
125,48,4,4,5,15,17,220
138,55,4,3,5,19,17,198
125,56,4,3,8,29,10,46
90,50,4,4,7,20,11,72
122,56,4,3,6,21,11,75
132,47,4,4,5,19,13,108
147,61,3,3,90,84,4,2
139,47,3,4,5,15,16,220
155,53,3,3,7,21,11,71
113,49,4,4,25,62,6,8
140,61,3,3,93,92,4,2
143,47,3,4,7,26,11,67
148,50,3,3,5,18,16,182
84,47,4,5,6,20,12,84
112,55,4,3,7,20,11,87
142,55,4,3,7,24,11,70
102,51,4,4,7,20,11,80
121,50,4,4,6,19,12,98
120,56,4,3,6,20,13,95
130,57,4,3,30,70,6,7
121,52,4,3,6,20,12,86
111,58,4,3,9,28,9,41
105,50,4,4,6,24,13,100
136,56,4,3,9,33,9,33
115,50,4,4,7,28,11,57
119,47,4,4,5,17,16,196
112,44,4,4,6,20,13,105
99,42,4,5,7,24,10,60
105,49,4,4,4,13,23,470
119,53,4,4,6,19,13,111
113,52,4,3,6,17,13,130
124,60,4,3,6,18,13,125
109,53,4,3,6,22,12,93
127,53,3,3,7,24,11,64
110,48,4,4,6,19,12,87
129,44,4,5,4,17,19,258
126,44,3,4,6,20,12,92
118,52,4,4,5,19,13,117
128,53,3,3,5,17,14,154
111,52,4,3,6,19,12,92
116,55,4,4,5,16,14,160
149,57,3,3,6,23,13,107
134,42,4,5,5,17,15,153
136,53,3,4,6,20,12,98
105,52,4,4,5,17,15,179
102,47,4,5,6,19,15,149
91,43,4,5,9,32,9,39
114,44,4,4,5,17,15,155
125,58,4,3,5,15,16,213
113,50,4,4,9,34,9,33
128,51,4,3,5,19,15,154
114,51,4,3,9,31,9,37
123,57,4,3,7,25,12,74
151,47,3,4,6,22,12,87
123,50,4,4,7,24,12,91
128,54,3,3,5,19,15,152
128,53,3,3,6,21,12,85
115,56,4,3,8,29,10,47
93,48,4,4,9,25,9,37
137,59,3,3,4,12,30,755
122,50,4,4,8,26,9,42
81,43,4,6,12,42,8,22
89,41,4,6,7,20,11,71
112,49,4,3,4,12,28,688
121,47,4,4,7,21,12,92
117,48,4,4,6,19,12,100
118,53,4,3,7,22,11,77
115,53,4,3,6,19,13,109
129,48,4,4,8,24,10,51
124,48,4,4,6,17,13,125
136,50,4,4,5,17,17,209
120,50,4,4,5,15,17,236
144,50,4,3,6,18,13,110
128,55,3,3,5,17,15,158
130,56,4,3,5,16,15,168
103,43,4,4,6,22,12,93
84,40,4,7,5,15,17,233
145,55,3,3,6,24,12,89
127,52,4,3,5,16,15,190
147,48,3,4,6,17,13,124
134,49,4,3,8,27,10,47
118,49,4,3,6,21,12,81
121,52,4,3,6,23,13,101
110,51,4,4,6,20,13,118
106,50,4,4,5,19,14,138
96,48,4,4,6,19,12,97
95,41,4,5,6,23,13,95
122,53,4,3,7,21,11,77
118,48,4,4,5,21,15,137
124,48,4,4,6,19,12,99
121,64,3,3,6,22,12,84
119,57,4,4,7,24,12,80
119,52,3,3,8,26,10,51
123,43,4,5,5,17,15,174
150,55,3,3,73,86,4,2
111,39,4,5,8,30,10,46
119,44,4,4,7,22,11,69
120,53,3,3,5,18,15,160
99,50,4,4,5,19,16,172
92,44,4,5,5,17,18,222
118,47,4,4,5,15,17,256
122,56,4,3,7,24,11,74
156,58,3,3,6,22,13,108
95,39,4,6,5,17,15,168
122,58,4,3,5,18,16,172
126,57,4,3,5,16,18,239
117,45,4,5,7,29,11,54
116,47,4,4,6,17,13,133
91,50,4,5,5,14,19,302
115,55,4,3,6,20,13,112
125,57,3,3,7,31,11,64
133,53,4,3,7,25,11,65
89,51,4,5,95,98,4,2
100,40,4,6,5,14,19,323
139,62,4,3,5,20,15,139
118,53,3,3,5,18,17,197
121,53,4,3,8,27,10,48
116,51,3,4,5,18,14,140
117,51,4,3,14,44,8,21
122,62,4,3,6,18,14,149
148,50,3,4,5,16,18,230
132,47,3,4,6,16,14,160
162,51,3,4,4,11,31,867
105,47,4,4,5,17,14,152
132,52,4,4,5,17,14,142
114,53,4,3,6,18,12,102
126,56,4,3,6,17,13,133
142,58,3,3,13,42,8,21
125,57,3,3,15,46,7,18
125,51,4,3,6,24,13,92
107,49,4,4,11,35,8,29
118,51,3,4,5,17,18,235
129,55,3,3,5,16,15,186
135,40,3,5,7,24,12,86
120,53,4,3,8,26,10,48
120,49,4,4,8,27,10,47
133,54,4,3,5,18,15,155
120,52,4,4,6,23,14,114
136,55,4,4,8,28,10,53
129,59,4,3,6,18,14,137
132,58,4,3,10,33,9,35
107,38,4,6,7,27,11,59
126,47,3,4,5,19,15,153
148,50,3,4,21,54,6,10
108,55,4,3,6,21,12,86
100,45,4,5,5,17,16,168
130,59,4,3,5,18,15,180
113,54,4,3,6,20,13,108
93,46,4,5,5,19,15,144
119,51,4,3,5,15,16,225
108,46,4,4,5,18,15,160
103,34,4,8,5,20,14,123
117,55,4,3,8,30,10,41
131,47,4,4,6,19,12,102
144,53,3,3,6,23,12,85
137,51,3,4,6,17,13,136
127,57,4,3,6,22,13,99
124,53,4,3,6,25,12,86
106,51,4,4,4,15,21,330
140,53,3,3,7,23,12,94
87,39,4,7,8,23,10,50
119,49,4,4,5,17,17,198
99,37,4,7,5,15,17,252
107,52,4,3,6,21,14,115
126,53,3,3,11,39,8,27
137,53,3,3,6,19,13,106
109,45,4,5,7,25,11,64
120,47,4,4,6,20,12,90
109,55,4,4,5,17,15,165
92,44,4,5,6,19,12,99
115,41,4,5,5,20,15,138
125,50,4,4,7,21,11,76
107,52,4,4,5,17,16,214
132,47,4,3,14,47,8,19
98,41,4,5,5,19,14,135
118,55,4,3,5,15,16,216
137,52,3,3,7,24,12,83
124,55,4,3,5,18,15,155
125,57,4,3,5,18,18,216
87,40,4,6,5,20,16,169
128,58,3,3,15,44,7,16
130,51,4,4,4,13,22,425
134,46,4,4,5,16,17,220
131,46,4,4,5,15,17,243
98,45,4,4,5,14,18,291
141,46,3,4,41,78,5,4
96,54,4,4,7,22,11,78
126,57,4,3,5,16,15,183
126,55,4,3,6,19,13,117
120,55,4,3,23,59,6,9
94,47,4,5,6,16,14,162
117,56,4,3,8,23,10,58
124,53,4,4,5,19,17,206
111,52,4,4,6,21,12,89
129,47,3,4,8,25,10,58
133,49,4,4,6,19,13,122
112,55,4,3,23,48,6,9
85,38,5,7,5,17,14,143
101,44,4,5,6,24,11,71
131,60,3,3,7,24,11,70
108,55,4,3,5,16,15,182
109,45,4,4,10,33,9,35
134,59,4,3,9,27,9,45
93,44,4,5,5,14,19,316
85,42,4,6,6,19,12,98
130,56,3,3,5,15,15,209
122,53,4,3,7,22,10,59
133,60,4,3,5,16,14,163
109,55,4,3,5,20,14,127
121,53,4,3,53,88,5,3
136,49,3,3,6,18,12,97
114,53,4,4,9,33,10,43
132,54,4,3,5,15,16,237
111,44,4,4,6,18,13,108
88,38,4,7,6,18,13,123
99,46,4,5,7,23,11,62
122,52,4,3,6,21,12,86
100,42,4,5,4,12,27,644
149,55,3,4,10,35,9,38
118,54,4,3,4,15,21,358
128,54,4,3,7,22,10,56
117,49,4,4,4,12,27,616
135,52,3,3,5,15,17,249
119,50,3,4,6,22,11,73
96,52,4,4,5,21,15,145
127,61,4,3,6,22,12,83
136,52,3,4,8,30,11,59
99,40,4,5,6,16,14,164
121,53,3,3,6,18,13,126
96,49,4,5,5,15,17,264
111,56,4,3,9,32,9,40
115,58,4,3,9,29,10,48
140,46,3,4,5,18,14,145
106,45,4,4,6,18,13,121
86,40,4,6,13,39,8,22
108,55,4,3,5,18,14,135
122,54,4,3,6,22,12,95
127,51,4,3,6,25,12,82
124,54,4,4,6,19,13,122
143,44,3,5,8,31,10,44
118,48,4,4,5,16,14,162
136,54,3,3,5,14,19,316
119,55,4,3,5,16,14,162
113,47,4,4,6,22,13,107
118,49,4,4,5,15,15,195
94,53,4,4,7,22,11,66
126,50,3,3,5,16,14,158
117,51,4,3,7,22,11,68
131,52,4,4,7,27,10,55
115,58,4,3,5,20,15,146
104,45,4,4,6,19,12,98
147,49,3,4,6,23,12,93
124,47,4,4,5,16,15,189
138,50,3,3,8,28,10,41
92,43,4,5,6,19,15,153
119,59,4,3,7,23,12,82
125,48,3,4,6,21,13,114
102,45,4,5,7,28,10,54
97,42,4,5,7,22,12,83
136,50,3,4,6,19,12,102
109,48,4,4,5,16,18,243
101,40,4,5,6,18,13,127
100,39,4,6,6,21,12,84
124,57,4,3,6,20,12,87
120,49,4,4,6,21,14,122
89,43,4,5,4,12,28,675
134,43,3,4,6,22,14,121
118,53,4,4,7,26,11,57
103,50,4,4,7,24,11,64
150,50,3,4,7,25,12,78
120,54,4,4,6,20,14,137
122,61,4,3,5,17,15,168
99,44,4,4,6,22,13,106
146,53,3,3,6,19,13,106
112,51,4,3,6,19,12,98
105,51,4,4,6,23,12,75
123,59,3,3,14,46,8,19
112,52,4,3,5,17,14,157
118,49,3,3,7,29,11,60
154,50,3,4,7,23,11,72
118,54,4,3,6,17,14,150
99,50,4,4,5,16,16,221
123,50,4,4,8,30,10,43
117,55,4,3,8,27,10,47
122,53,4,4,6,19,13,118
124,61,4,3,6,19,12,93
129,54,4,3,6,21,11,77
130,55,3,3,11,35,8,28
133,51,3,4,13,41,8,21
146,53,3,4,7,21,12,95
147,42,3,4,6,19,12,99
134,54,4,3,13,39,7,18
100,39,4,6,4,15,21,326
94,40,4,6,6,16,14,151
85,37,5,8,6,19,13,114
137,47,3,4,6,20,12,87
89,36,4,8,6,26,12,85
138,57,4,3,9,34,9,37
128,58,4,3,12,37,8,24
134,46,3,4,6,19,12,109
128,53,4,3,8,25,9,43
113,41,4,5,9,34,10,44
139,44,3,4,8,27,10,47
112,48,4,4,7,26,11,67
131,51,4,3,4,12,29,755
143,53,3,3,13,44,8,21
98,45,4,4,5,17,15,157
125,48,4,4,7,22,11,80
96,39,4,6,4,13,23,448
128,58,3,3,4,14,20,341
102,53,4,4,6,21,13,101
115,47,4,4,6,23,13,102
127,57,4,3,6,19,13,115
149,58,3,3,9,34,9,40
126,55,4,3,59,94,5,3
110,53,4,3,5,15,16,213
132,46,4,4,5,15,16,229
125,55,4,3,9,32,9,39
97,48,4,4,6,21,13,99
124,54,4,3,7,24,11,72
131,57,3,3,110,98,3,2
90,39,4,7,4,12,25,557
96,51,4,4,4,14,22,392
120,52,3,3,8,27,10,47
126,51,3,4,6,18,12,112
152,56,3,3,5,15,17,250
91,41,4,6,6,19,13,115
121,54,4,4,16,47,7,15
127,55,4,3,47,79,5,4
99,47,4,5,5,17,14,147
123,53,4,4,6,16,14,171
120,49,4,4,4,16,20,280
130,55,4,3,5,16,14,170
98,51,4,4,6,18,13,119
109,41,4,5,10,33,8,28
102,43,4,5,8,25,10,51
136,55,3,3,6,19,12,106
150,56,3,3,18,50,7,13
143,48,3,4,5,18,16,179
138,57,3,3,7,24,10,57
122,46,4,4,7,25,11,66
100,39,4,6,6,19,12,101
88,40,4,6,9,33,9,35
106,53,4,3,6,18,13,115
78,48,5,5,7,22,12,88
128,49,4,4,6,20,13,104
112,47,4,4,6,20,12,97
129,58,3,3,4,13,22,429
146,57,3,3,9,33,9,39
119,56,4,3,16,48,7,15
144,51,3,4,4,14,26,536
134,46,3,4,5,16,15,173
114,60,4,3,10,35,8,28
123,61,4,3,6,22,13,104
107,54,4,3,7,23,11,72
140,40,3,5,10,37,9,32
122,52,4,4,6,23,12,81
111,58,4,4,6,18,13,110
105,51,4,4,7,21,11,81
138,51,3,4,7,25,11,63
162,53,3,4,5,16,16,204
149,54,3,3,6,19,13,112
119,54,4,3,5,21,14,121
146,51,3,4,5,17,14,140
104,41,4,5,4,14,22,399
117,49,4,4,6,21,13,109
131,58,4,3,6,18,13,125
112,51,4,3,5,18,15,163
109,50,4,4,6,18,12,113
124,50,4,4,6,19,12,95
132,46,4,4,6,20,12,86
110,39,4,7,6,24,12,82
126,51,4,3,5,19,15,151
126,44,4,4,7,24,11,71
81,41,4,6,6,19,12,97
129,44,4,4,6,17,13,145
126,55,4,3,6,18,13,114
132,58,3,3,8,26,10,56
107,43,4,4,10,33,9,31
97,49,4,4,5,18,17,184
136,57,4,3,5,15,19,283
137,60,4,3,6,21,12,97
140,45,3,4,6,21,12,91
136,53,4,3,7,24,11,71
115,58,4,3,7,28,11,57
101,40,4,5,8,26,9,41
108,48,4,4,4,15,21,345
114,55,4,3,7,23,10,54
113,44,4,5,6,23,12,87
143,54,3,4,5,16,17,222
94,49,4,4,8,26,10,51
146,50,3,4,14,41,7,17
91,39,4,7,6,19,13,111
129,50,4,3,6,17,13,142
100,50,4,4,5,16,15,192
93,43,4,5,6,23,14,113
112,55,4,4,6,17,13,134
123,58,4,3,5,16,14,160
92,43,4,6,8,28,10,54
131,52,4,3,5,16,16,194
125,54,4,3,6,20,12,83
106,43,4,5,8,27,10,54
142,50,4,4,7,21,10,57
128,53,3,4,5,17,15,178
98,49,4,4,4,16,19,261
112,60,4,3,10,31,9,36
116,62,4,3,5,19,14,120
118,59,4,3,7,23,10,59
134,52,3,3,6,24,12,89
129,54,4,3,8,32,10,48
124,53,4,3,5,15,17,242
140,44,3,4,4,15,21,343
144,54,3,3,7,21,10,60
111,46,4,4,7,25,11,67
104,49,4,4,6,18,12,107
